Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:00:00	00:00:01	2	mhm 
00:00:01	00:00:04	1	[laughter] 
00:00:04	00:00:26	2	conversation is going to be recorded quarter i mean we haven't talked to for so long and only one person feels [noise] gosh i might send for the recording in case i forget which is that all i can always go back and find out i'm the only one that gets to talk you'd have to be on one on one mama oh mom will get to talking with another 
00:00:26	00:00:26	1	[laughter] 
00:00:26	00:00:30	2	john has another number to call you with 
00:00:30	00:00:31	1	wonderful 
00:00:31	00:00:34	2	stars and rain does he does 
00:00:34	00:00:37	1	so you how do you live hidden clause does it 
00:00:37	00:00:51	2	three within thirty worries this is so educational isn't of this case marijuana yeah i mean that's that's a thrill to hear your voice or are you located oh yes i'm fine 
00:00:51	00:00:52	1	i know 
00:00:52	00:01:02	2	oh that that uh volcano is just erupting something fears but we're far enough away from my own but the people in my own hair smelling and breathing the ashes 
00:01:04	00:01:09	2	and they didn't think they'd have to evacuate so many but another thousands had to go 
00:01:09	00:01:10	1	uh-huh 
00:01:10	00:01:23	2	oh i remember going there on easter <unk> one of my first years here <unk> after it after it exploded and oh i <unk> the mountains of of cash that we're in the street and lay on from people building up their streets waiting for big trucks 
00:01:23	00:01:25	1	to come and pick it up but 
00:01:25	00:01:27	2	<unk> it's it's worse than that time 
00:01:27	00:01:31	1	when the people are interviewed on television they 
00:01:31	00:01:38	2	thrilled to be alive fee and they're wherever they are in schools or wherever where they're all herded 
00:01:38	00:01:42	1	what about that other disease in guatemala 
00:01:42	00:01:54	2	oh let's just <unk> yeah well that's a very that's a very tragic thing but see i i shower and i have access to water from a faucet 
00:01:57	00:02:00	1	all this stuff is always going to affect the poorest of the poor because 
00:02:00	00:02:13	2	they will wash their babies and the rivers that are from these streams and the it's because we've had so much rain and uh the urine from the rats that are in the garbage 
00:02:13	00:02:14	1	uh-huh 
00:02:14	00:02:17	2	travel the waterways 
00:02:17	00:02:18	1	oh if people do 
00:02:18	00:02:29	2	wash in the rivers yeah it it can come through their clothes pins babies are based in that the people be than that so it's it's uh 
00:02:29	00:02:38	1	many times you know when you think of in my in danger i there are precautions you know that i take that for just don't have 
00:02:38	00:02:55	2	so yeah no so do you have a lot of the people around you let her people near you know it's more in the north we're we're further south here in <unk> oh yeah in the north where all these mountains streams come down and form these river 
00:02:55	00:02:56	1	yeah 
00:02:56	00:03:03	2	[noise] but now they're <unk> i think the rains or coming to an end we had a little rain the day before yesterday but 
00:03:03	00:03:05	1	by the time december 
00:03:05	00:03:10	2	we have uh the wins the lovely wins of december 
00:03:10	00:03:13	1	oh in december had started 
00:03:13	00:03:25	2	yeah so the the rains will maybe it'll rain those two more times but not not hired like we've we've got a very rainy season i mean that's that's how the rainy season is is just the for seven years we never had one 
00:03:25	00:03:26	1	uh-huh 
00:03:26	00:03:30	2	i always thought it was a little mild on the rain side 
00:03:30	00:03:32	1	oh boy yeah 
00:03:32	00:03:38	2	third of the kids doing your children that you uh brooklyn oh eat we have uh we have 
00:03:38	00:03:42	1	finale yesterday for the activities from october to november 
00:03:42	00:03:49	2	oh it was so cute little <unk> where did you do 
00:03:49	00:03:56	1	well every every group like we had flute and and these there were four 
00:03:56	00:03:59	2	that completed the first book of the suzuki methods 
00:03:59	00:04:04	1	been going now for two years four semesters 
00:04:04	00:04:09	2	and they played for lovely songs and then these other kids that are that just 
00:04:09	00:04:11	1	in august some new 
00:04:11	00:04:20	2	a few more than others so as i introduced the song they knew that they had uh taking their examined it or not and then they they come in and joined the group that was there already 
00:04:20	00:04:22	1	oh my <unk> 
00:04:22	00:04:25	2	the kids that came in and according to the song if they knew 
00:04:25	00:04:26	1	yeah that was cute 
00:04:26	00:04:40	2	and then <unk> at at uh activities i had was six and seven year old uh-huh and they were just precious they they learnt hi and goodbye 
00:04:40	00:04:46	1	maybe i told you on the tape i missed one kid and we'd have one case he that one kids 
00:04:46	00:04:52	2	hi like it's a karate word so i said when we all get up there 
00:04:52	00:04:59	1	we're going to say i'm going to say one two three moral going to say hi we're <unk> infant 
00:05:04	00:05:05	1	for their 
00:05:32	00:05:37	2	[noise] all the parents and brothers and sisters yeah it was a nice <unk> 
00:05:37	00:05:41	1	is this like outside uh-huh 
00:05:41	00:05:51	2	<unk> underneath uh around shown which is just a construction of attached roof on hold so you don't have wall it's nice in erie 
00:05:51	00:05:53	1	it's real nice 
